carrier_id,carrier_name,country_name,country_code,national_destination_code
1330,VIVOMG2,Brazil,55,1173
1330,VIVOMG2,Brazil,55,1697
1332,VIP_mob,Serbia,381,60
1332,VIP_mob,Serbia,381,
1333,O2Telefonica,Ireland,353,8996
1334,OrangeBissau,GuineeB,245,55
1334,OrangeBissau,GuineeB,245,58
1334,OrangeBissau,GuineeB,245,03
1335,SIMOBIL,Slovenia,386,30
1336,AIRCELL,India,91,9854
1336,AIRCELL,India,91,
1337,VodafoneKolk,India,91,9874
1338,VodafoneTam,India,91,9786
1338,VodafoneTam,India,91,9787
1338,VodafoneTam,India,91,9943
1340,Claro,Chile,56,974099
1340,Claro,Chile,56,9866280
1340,Claro,Chile,56,9866281
1340,Claro,Chile,56,9866282
1340,Claro,Chile,56,9866291
1340,Claro,Chile,56,9866293
1340,Claro,Chile,56,03
1343,Telma,Madagascar,261,
1344,TelecomLiech,Liechtenstein,423,
1347,Truemov,Thailand,66,81232
1347,Truemov,Thailand,66,81236
1347,Truemov,Thailand,66,81237
1347,Truemov,Thailand,66,81417
1347,Truemov,Thailand,66,81419
1347,Truemov,Thailand,66,81467
1347,Truemov,Thailand,66,863
1347,Truemov,Thailand,66,8875
1347,Truemov,Thailand,66,90925
1347,Truemov,Thailand,66,90930
1347,Truemov,Thailand,66,90935
1347,Truemov,Thailand,66,90936
1347,Truemov,Thailand,66,90950
1347,Truemov,Thailand,66,90958
1347,Truemov,Thailand,66,90967
1347,Truemov,Thailand,66,90968
1347,Truemov,Thailand,66,90987
1347,Truemov,Thailand,66,90989
1347,Truemov,Thailand,66,91004
1347,Truemov,Thailand,66,91008
1347,Truemov,Thailand,66,91017
1347,Truemov,Thailand,66,91025
1347,Truemov,Thailand,66,91032
1347,Truemov,Thailand,66,91034
1347,Truemov,Thailand,66,91041
1347,Truemov,Thailand,66,91047
1347,Truemov,Thailand,66,91070
1347,Truemov,Thailand,66,91071
1347,Truemov,Thailand,66,91074
1347,Truemov,Thailand,66,91698
1347,Truemov,Thailand,66,91725
1347,Truemov,Thailand,66,91726
1347,Truemov,Thailand,66,91748
1347,Truemov,Thailand,66,91757
1347,Truemov,Thailand,66,91760
1347,Truemov,Thailand,66,91773
1347,Truemov,Thailand,66,91778
1347,Truemov,Thailand,66,91789
1347,Truemov,Thailand,66,91791
1347,Truemov,Thailand,66,91802
1347,Truemov,Thailand,66,91809
1347,Truemov,Thailand,66,91823
1347,Truemov,Thailand,66,91828
1347,Truemov,Thailand,66,91831
1347,Truemov,Thailand,66,91832
1347,Truemov,Thailand,66,91842
1347,Truemov,Thailand,66,91852
1347,Truemov,Thailand,66,91853
1347,Truemov,Thailand,66,91861
1347,Truemov,Thailand,66,91870
1347,Truemov,Thailand,66,91871
1347,Truemov,Thailand,66,91875
1347,Truemov,Thailand,66,91878
1350,NCC,Russia,7,8422495
1350,NCC,Russia,7,8422496
1350,NCC,Russia,7,9023259
1350,NCC,Russia,7,902358
1350,NCC,Russia,7,902664
1350,NCC,Russia,7,902672
1350,NCC,Russia,7,902736
1350,NCC,Russia,7,90467
1350,NCC,Russia,7,90476899
1350,NCC,Russia,7,90479
1350,NCC,Russia,7,90485010
1350,NCC,Russia,7,90485011
1350,NCC,Russia,7,904851
1350,NCC,Russia,7,90491
1350,NCC,Russia,7,908491
1350,NCC,Russia,7,90854
1350,NCC,Russia,7,90855
1350,NCC,Russia,7,95035
1350,NCC,Russia,7,95106
1350,NCC,Russia,7,95109
1350,NCC,Russia,7,95189
1350,NCC,Russia,7,951999
1350,NCC,Russia,7,95219
1350,NCC,Russia,7,952312
1350,NCC,Russia,7,95247
1350,NCC,Russia,7,953022
1350,NCC,Russia,7,953023
1350,NCC,Russia,7,953410
1350,NCC,Russia,7,953449
1350,NCC,Russia,7,95348
1350,NCC,Russia,7,953898
1351,Mattel,Mauritanie,222,10
1353,Mobifone,Vietnam,84,122
1353,Mobifone,Vietnam,84,128
1355,Mobiltel EAD,Bulgaria,359,88
1355,Mobiltel EAD,Bulgaria,359,988
1356,Baykalestcom,Russia,7,901632
1356,Baykalestcom,Russia,7,9016342
1356,Baykalestcom,Russia,7,901652
1356,Baykalestcom,Russia,7,901671
1356,Baykalestcom,Russia,7,901672
1356,Baykalestcom,Russia,7,90245
1356,Baykalestcom,Russia,7,902462
1356,Baykalestcom,Russia,7,902515
1356,Baykalestcom,Russia,7,902516
1356,Baykalestcom,Russia,7,90253
1356,Baykalestcom,Russia,7,902564
1356,Baykalestcom,Russia,7,9041580
1356,Baykalestcom,Russia,7,90864
1356,Baykalestcom,Russia,7,95006
1356,Baykalestcom,Russia,7,95028
1356,Baykalestcom,Russia,7,951290
1356,Baykalestcom,Russia,7,95163
1356,Baykalestcom,Russia,7,952083
1356,Baykalestcom,Russia,7,
1359,Elisa,Estonia,372,545
1359,Elisa,Estonia,372,5891
1359,Elisa,Estonia,372,5892
1359,Elisa,Estonia,372,5893
1360,Vodafone,Spain,34,6025
1360,Vodafone,Spain,34,617
1360,Vodafone,Spain,34,663
1360,Vodafone,Spain,34,671
1360,Vodafone,Spain,34,697
1360,Vodafone,Spain,34,7171
1362,Mobicom,Mongolia,976,
1366,AircelHP,IndiaHP,91,9857
1367,AircelHa,IndiaHa,91,
1368,AircelPu,IndiaPu,91,9803
1370,AircelKa,IndiaKa,91,
1371,AircelMu,IndiaMu,91,
1376,Tusmobil,Slovenia,386,51
1377,IdeaGu,India,91,8140
1377,IdeaGu,India,91,9737
1378,IdeaDe,India,91,8059
1378,IdeaDe,India,91,9728
1378,IdeaDe,India,91,04
1379,UMobile,Malaysia,60,11111
1379,UMobile,Malaysia,60,11114
1379,UMobile,Malaysia,60,1831
1379,UMobile,Malaysia,60,1836
1379,UMobile,Malaysia,60,1897
1379,UMobile,Malaysia,60,
1380,Vivacell,Sudan,211,04
1381,Mtel,Montenegro,382,03
1382,Vip,Macedonia,389,
1384,Tele2,Lithuania,370,648
1385,Latelz,Combodge,855,69
1385,Latelz,Combodge,855,70
1386,Irancell,Iran,98,432
1386,Irancell,Iran,98,922
1386,Irancell,Iran,98,936
1388,Free,France,33,
1388,Free,France,33,15
1389,USAN,Gabon,241,04
1394,EtisaletAfgh,Afghanistan,93,50
1395,O2 Argentina,Argentina,54,2225
1395,O2 Argentina,Argentina,54,223
1395,O2 Argentina,Argentina,54,2255
